StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''4T.NM01.HH''''''',32.35514,-103.39849,0.155939123,0.174399488,0.174168332,0.172651529,0.172713369,0.172334956,0.168213483,0.16889034,0.160878175,0.15568075,0.154515895,0.152414506,0.146086886,0.141501103,0.129574806,0.121053858,0.114523942,0.104954985,0.104425699,0.106152488,0.107044385,0.108670543,0.112061472,525.6923,NaN
'''''''4T.NM02.HH''''''',32.2641,-103.879,0.180062989,0.201379182,0.201112266,0.199360814,0.19943222,0.198995266,0.194236199,0.195017766,0.185766116,0.179764646,0.178419587,0.175993112,0.168686606,0.1633914,0.149620098,0.139780955,0.132240858,0.121191577,0.12058041,0.122574335,0.123604209,0.125481935,0.129397442,582.4866,NaN
'''''''4T.NM03.HH''''''',32.47254,-103.63428,0.152181002,0.170196473,0.169970888,0.16849064,0.16855099,0.168181696,0.16415955,0.164820095,0.157001023,0.151928855,0.150792073,0.148741327,0.142566203,0.138090937,0.126452062,0.118136468,0.111763924,0.102425577,0.101909047,0.103594221,0.104464623,0.106051591,0.109360799,319.7143,NaN
'''''''6E.SHBB.HH''''''',37.745,-88.13,0.159990164,0.178930099,0.178692938,0.177136732,0.177200178,0.176811934,0.172583392,0.173277832,0.165057525,0.159725079,0.158529963,0.156373983,0.149881982,0.145177069,0.132940946,0.124198637,0.117499086,0.107681542,0.107138506,0.108910155,0.109825222,0.111493625,0.114972645,609.8066,NaN
'''''''6E.WB01.BH''''''',39.1229,-89.5321,0.14868212,0.166283387,0.166062988,0.164616774,0.164675736,0.164314933,0.160385263,0.16103062,0.153391322,0.148435771,0.147325125,0.145321529,0.13928838,0.134916008,0.12354473,0.115420324,0.109194295,0.100070652,0.099565997,0.101212426,0.102062816,0.103613297,0.106846421,370.5682,NaN
'''''''6E.WB02.BH''''''',39.0869,-89.4338,0.136767658,0.152958469,0.152755732,0.151425408,0.151479645,0.151147755,0.147532984,0.148126627,0.141099494,0.13654105,0.135519404,0.133676364,0.128126675,0.124104677,0.113644622,0.106171257,0.100444142,0.092051611,0.091587396,0.093101891,0.093884136,0.095310371,0.098284413,206.8494,NaN
'''''''6E.WB03.BH''''''',39.0363,-89.324,0.210268271,0.235160221,0.23484853,0.232803275,0.232886659,0.232376407,0.226819014,0.227731687,0.216928088,0.20991988,0.20834919,0.205515678,0.196983517,0.190800049,0.174718632,0.163228988,0.154424052,0.141521273,0.140807583,0.143135986,0.144338619,0.14653133,0.151103658,236.8918,NaN
'''''''6E.WB04.BH''''''',38.9878,-89.2151,0.134211028,0.15009918,0.149900233,0.148594777,0.148648001,0.148322314,0.144775115,0.145357661,0.138461888,0.133988656,0.132986108,0.131177521,0.125731572,0.121784759,0.111520236,0.104186572,0.098566516,0.090330868,0.089875331,0.091361515,0.092129138,0.093528712,0.096447159,313.5476,NaN
'''''''6E.WB05.BH''''''',38.9451,-89.1286,0.145413982,0.162628361,0.162412807,0.160998381,0.161056047,0.160703175,0.156859881,0.157491054,0.150019672,0.145173048,0.144086815,0.142127259,0.136226724,0.131950459,0.120829129,0.112883304,0.106794127,0.097871028,0.097377466,0.098987706,0.099819404,0.101335804,0.104497862,282.9832,NaN
'''''''6E.WB07.BH''''''',38.8615,-88.9141,0.155939123,0.174399488,0.174168332,0.172651529,0.172713369,0.172334956,0.168213483,0.16889034,0.160878175,0.15568075,0.154515895,0.152414506,0.146086886,0.141501103,0.129574806,0.121053858,0.114523942,0.104954985,0.104425699,0.106152488,0.107044385,0.108670543,0.112061472,239.992,NaN
'''''''6E.WB08.BH''''''',38.8009,-88.8071,0.119599848,0.133758301,0.133581013,0.132417678,0.132465107,0.132174877,0.129013852,0.129532977,0.123387928,0.119401685,0.118508281,0.11689659,0.112043527,0.108526392,0.099379339,0.092844071,0.087835854,0.080496799,0.080090855,0.081415242,0.082099296,0.083346502,0.085947226,229.3214,NaN
'''''''6E.WB09.BH''''''',38.765,-88.7186,0.136767658,0.152958469,0.152755732,0.151425408,0.151479645,0.151147755,0.147532984,0.148126627,0.141099494,0.13654105,0.135519404,0.133676364,0.128126675,0.124104677,0.113644622,0.106171257,0.100444142,0.092051611,0.091587396,0.093101891,0.093884136,0.095310371,0.098284413,336.2566,NaN
'''''''6E.WB10.BH''''''',38.7301,-88.6662,0.127323761,0.142396585,0.142207847,0.140969383,0.141019875,0.140710902,0.137345733,0.137898385,0.13135648,0.1271128,0.1261617,0.124445923,0.119279443,0.115535167,0.105797386,0.098840061,0.093508407,0.085695386,0.085263226,0.086673144,0.087401374,0.088729127,0.091497809,262.0603,NaN
'''''''6E.WB11.BH''''''',38.717,-88.6099,0.125253318,0.140081039,0.13989537,0.138677046,0.138726716,0.138422767,0.135112321,0.135655985,0.12922046,0.125045787,0.124110153,0.122422277,0.11733981,0.113656421,0.104076988,0.097232798,0.091987844,0.084301872,0.083876739,0.08526373,0.085980119,0.087286281,0.09000994,334.5406,NaN
'''''''6E.WB12.BH''''''',38.6915,-88.5652,0.136767658,0.152958469,0.152755732,0.151425408,0.151479645,0.151147755,0.147532984,0.148126627,0.141099494,0.13654105,0.135519404,0.133676364,0.128126675,0.124104677,0.113644622,0.106171257,0.100444142,0.092051611,0.091587396,0.093101891,0.093884136,0.095310371,0.098284413,306.5297,NaN
'''''''6E.WB13.BH''''''',38.6782,-88.504,0.152181002,0.170196473,0.169970888,0.16849064,0.16855099,0.168181696,0.16415955,0.164820095,0.157001023,0.151928855,0.150792073,0.148741327,0.142566203,0.138090937,0.126452062,0.118136468,0.111763924,0.102425577,0.101909047,0.103594221,0.104464623,0.106051591,0.109360799,249.3982,NaN
'''''''6E.WB14.BH''''''',38.6468,-88.4631,0.164374268,0.183833201,0.183589541,0.181990691,0.182055876,0.181656993,0.177312579,0.178026049,0.169580487,0.164101919,0.162874054,0.160658995,0.153989099,0.149155259,0.136583838,0.12760197,0.120718835,0.110632268,0.110074351,0.111894547,0.112834689,0.11454881,0.118123163,238.4317,NaN
'''''''6E.WB15.BH''''''',38.628,-88.4096,0.136767658,0.152958469,0.152755732,0.151425408,0.151479645,0.151147755,0.147532984,0.148126627,0.141099494,0.13654105,0.135519404,0.133676364,0.128126675,0.124104677,0.113644622,0.106171257,0.100444142,0.092051611,0.091587396,0.093101891,0.093884136,0.095310371,0.098284413,230.4564,NaN
'''''''6E.WB16.BH''''''',38.6124,-88.3505,0.14868212,0.166283387,0.166062988,0.164616774,0.164675736,0.164314933,0.160385263,0.16103062,0.153391322,0.148435771,0.147325125,0.145321529,0.13928838,0.134916008,0.12354473,0.115420324,0.109194295,0.100070652,0.099565997,0.101212426,0.102062816,0.103613297,0.106846421,230.9828,NaN
'''''''6E.WB17.BH''''''',38.5804,-88.3116,0.11313013,0.126522686,0.126354988,0.125254584,0.125299447,0.125024917,0.122034887,0.12252593,0.116713295,0.112942687,0.112097612,0.110573104,0.105982566,0.10265569,0.094003444,0.087821699,0.0830844,0.076142349,0.075758364,0.077011109,0.077658159,0.078837898,0.081297937,248.2282,NaN
'''''''6E.WB18.BH''''''',38.5552,-88.2679,0.117878897,0.131833621,0.131658883,0.130512289,0.130559035,0.130272981,0.127157441,0.127669096,0.12161247,0.117683585,0.116803037,0.115214537,0.110431306,0.10696478,0.097949346,0.091508115,0.086571963,0.079338511,0.078938408,0.080243738,0.080917949,0.082147209,0.084710511,317.2148,NaN
'''''''6E.WB19.BH''''''',38.5365,-88.2177,0.129500393,0.144830891,0.144638927,0.143379291,0.143430646,0.143116391,0.139693694,0.140255793,0.133602053,0.129285826,0.128318466,0.126573358,0.121318555,0.11751027,0.107606019,0.100529757,0.095106957,0.087160371,0.086720822,0.088154843,0.088895523,0.090245974,0.093061987,312.329,NaN
'''''''6E.WB20.BH''''''',38.5187,-88.1862,0.186382901,0.208447257,0.208170973,0.206358047,0.20643196,0.205979669,0.201053567,0.201862566,0.192286198,0.186074086,0.184681818,0.182170178,0.174607225,0.169126167,0.154871515,0.144687034,0.136882292,0.1254452,0.124812582,0.126876491,0.127942511,0.129886142,0.133939078,308.838,NaN
'''''''6E.WB21.BH''''''',38.4907,-88.109,0.111670325,0.124890067,0.124724533,0.123638328,0.123682613,0.123411625,0.120460177,0.120944884,0.115207254,0.111485301,0.11065113,0.109146295,0.104614992,0.101331045,0.092790446,0.086688468,0.082012299,0.075159826,0.074780796,0.076017376,0.076656076,0.077820592,0.080248887,286.7748,NaN
'''''''6E.WB22.BH''''''',38.4687,-88.0584,0.220531223,0.246638121,0.246311217,0.244166134,0.244253589,0.243718431,0.237889789,0.238847009,0.227516098,0.220165828,0.218518474,0.215546661,0.206598055,0.200112779,0.183246447,0.171196007,0.161961312,0.148428763,0.147680239,0.150122288,0.151383621,0.153683356,0.158478854,398.8534,NaN
'''''''6E.WB23.BH''''''',38.4484,-88.0047,0.210268271,0.235160221,0.23484853,0.232803275,0.232886659,0.232376407,0.226819014,0.227731687,0.216928088,0.20991988,0.20834919,0.205515678,0.196983517,0.190800049,0.174718632,0.163228988,0.154424052,0.141521273,0.140807583,0.143135986,0.144338619,0.14653133,0.151103658,379.8036,NaN
