StationID,StationLatitude,StationLongitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),Vs30,CoastalPlainsSedThick
'''''''4T.NM01.HH''''''',32.35514,-103.39849,-0.236522206,-0.373217957,-0.457147327,-0.465613723,-0.424969356,-0.350193281,-0.16200019,-0.005028139,0.082169583,0.129620711,0.149175135,0.222007897,0.082665977,0.000789716,-0.00706916,0.266200542,0.278547709,0.161861137,0.114053854,0.213697182,0.234652405,0.214417789,0.177461877,525.6923,NaN
'''''''4T.NM02.HH''''''',32.2641,-103.879,1.074627729,1.056838793,1.791291794,0.61979845,0.406711376,0.269304692,0.118314894,0.153464362,0.02308317,0.263461178,0.494978327,0.629654126,0.732999923,0.814398057,0.764519799,0.559780594,0.268146981,0.202290806,0.164010783,0.472243738,0.563551334,0.606532763,0.582028134,582.4866,NaN
'''''''4T.NM03.HH''''''',32.47254,-103.63428,-0.536287197,-0.597170022,-0.779545164,-0.815499726,-0.71916654,-0.585189021,-0.330917837,-0.350439221,-0.33742983,-0.075093789,0.210196914,0.435107231,0.302198185,0.321388636,0.36995724,0.466533504,0.345829906,0.303082648,0.295477866,0.355470733,0.335200845,0.190692148,0.171887133,319.7143,NaN
'''''''6E.SHBB.HH''''''',37.745,-88.13,1.676596321,1.369376702,1.63155462,1.800281719,1.888802319,1.937619043,1.840068897,1.698487478,1.428685353,1.410963147,1.518006163,1.088799252,0.326643619,0.082703999,0.008377045,0.025581692,-0.336133786,-0.288521726,-0.24906973,-0.203620214,-0.153479589,-0.089402829,-0.030688009,609.8066,NaN
'''''''6E.WB01.BH''''''',39.1229,-89.5321,1.086763227,1.286244711,1.239049929,1.255683817,1.246713363,1.209182188,1.011101341,0.868885683,1.113194454,0.605267208,0.54366644,0.560800483,0.594131683,0.445784694,0.574615989,0.295008317,-0.19607459,-0.17983257,-0.110990287,-0.06373295,0.027851571,0.143277631,0.187502447,370.5682,NaN
'''''''6E.WB02.BH''''''',39.0869,-89.4338,1.029492339,1.401149922,1.326549862,1.276730609,1.253136431,1.20702818,1.281834034,1.236312326,0.662664789,0.582667691,0.246520299,0.058747138,0.293987469,0.556014865,0.929231588,0.775399296,0.197801492,0.1046864,0.13271392,0.138543268,0.237047866,0.329550281,0.370957531,206.8494,NaN
'''''''6E.WB03.BH''''''',39.0363,-89.324,0.628358434,0.768792726,0.785370061,0.759467647,0.716764843,0.661160731,0.602932213,0.504867876,0.223234674,0.191428193,0.163854535,0.430320626,0.702885686,0.623609508,0.464988511,0.602704898,0.211693582,0.098031119,0.21140398,0.244434842,0.312709171,0.284075659,0.274073564,236.8918,NaN
'''''''6E.WB04.BH''''''',38.9878,-89.2151,1.007945683,1.280651207,1.263564311,1.240316333,1.259096081,1.247510931,1.384320219,0.94772702,0.330746463,0.330625167,0.395314741,0.655406904,0.471489012,0.370017646,0.127307537,0.368438546,-0.138294352,-0.179576217,-0.037771913,0.0491888,0.061645373,0.025782725,0.047207285,313.5476,NaN
'''''''6E.WB05.BH''''''',38.9451,-89.1286,1.425144581,1.847150746,1.778540483,1.730489065,1.655669049,1.570533619,1.33476694,1.135636991,0.874042282,0.806197873,1.030731058,0.918923182,0.983544263,1.114738429,0.759031087,0.713857534,0.180942774,0.03754479,0.123687973,0.204230875,0.246566992,0.295365741,0.351319716,282.9832,NaN
'''''''6E.WB07.BH''''''',38.8615,-88.9141,1.149929947,1.416761701,1.372966244,1.358527047,1.364201891,1.345957418,1.163873947,1.234244542,1.023215891,0.558735906,0.526247971,0.535815181,0.848310653,0.687420066,0.273723684,0.317320408,0.048589291,-0.10299306,0.02489883,0.094598253,0.124770382,0.141289693,0.13194573,239.992,NaN
