Latitude,Longitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),N
29,-98,0.291795442,0.320633499,0.301359092,0.286063323,0.287635281,0.290174589,0.298232404,0.319007914,0.381121924,0.454497654,0.502621551,0.546365613,0.57956215,0.608597148,0.620867507,0.600793608,0.561418987,0.53264769,0.47998606,0.390176593,0.406693655,0.475651126,0.491170804,3
31,-104,0.129328159,0.123331182,0.137010517,0.138578505,0.141472535,0.143369383,0.14370833,0.138302593,0.118687926,0.112776944,0.112018301,0.118890634,0.125869244,0.133350969,0.142147765,0.118811529,0.100196584,0.095531098,0.075166569,0.059282936,0.05508906,0.069426708,0.089856467,4
31,-94,0.221255644,0.321447237,0.288071101,0.270434026,0.263199305,0.258418626,0.240177349,0.239117552,0.239931958,0.254938723,0.275662966,0.292425092,0.268254998,0.282933907,0.287302564,0.28611747,0.262465102,0.298391484,0.296038862,0.285779414,0.275467821,0.255771135,0.232679783,5
31,-88,0.585243436,0.965570192,0.862636796,0.816280223,0.782632713,0.758659047,0.681987315,0.61507901,0.706945342,0.810126542,0.802856807,0.692999892,0.677071997,0.702109323,0.824705626,0.872870654,0.911181594,0.917123589,0.769924124,0.788554804,0.790965596,0.808988159,0.809703397,6
33,-104,0.806930566,0.631195406,0.723043472,0.76623454,0.792837855,0.817344716,0.796440324,0.737818205,0.802217569,0.735116969,0.676812046,0.661899655,0.657087193,0.642922661,0.705283675,0.846396353,0.801401915,0.777873098,0.945448776,0.929773969,0.850765508,0.650170552,0.582495087,8
33,-100,0.199024067,0.327103366,0.29843714,0.283686388,0.274124694,0.265654054,0.254124201,0.241547613,0.20857552,0.195120999,0.181186101,0.175100859,0.1700792,0.161119877,0.167691297,0.163606049,0.146015069,0.124899109,0.12735503,0.128991067,0.137482392,0.15640928,0.167896997,9
33,-98,0.378274569,0.488579407,0.446129353,0.436717167,0.432109878,0.429436892,0.433554688,0.461860095,0.449767086,0.408362889,0.358583712,0.33794737,0.34703377,0.366009594,0.346822303,0.281734745,0.208953988,0.225695352,0.198130298,0.190233583,0.184715138,0.244042644,0.285213672,10
33,-96,0.072716772,0.00850983,0.055137606,0.071595279,0.066904655,0.061067572,0.063880526,0.036255195,0.040308705,0.084626893,0.085397489,0.059573041,0.042106486,0.090464391,0.143435656,0.170356098,0.193555972,0.183428555,0.157790814,0.128207782,0.113452078,0.095396134,0.090600684,11
33,-88,0.010485658,0.101612746,0.073204046,0.042389599,0.028768994,0.018896722,0.002433216,0.05470697,0.122844332,0.088689777,0.020615471,0.007653072,0.022874452,0.036792901,0.023007538,0.00776367,0.013521368,0.012819295,0.02541548,0.006661844,0.009383757,0.052066473,0.067399513,13
35,-98,0.081288697,0.108480411,0.1104077,0.109951355,0.106577796,0.10172756,0.08602934,0.080811823,0.070782923,0.074291499,0.08254711,0.089212534,0.093320862,0.093342365,0.097168466,0.100352144,0.086404621,0.085087053,0.083226618,0.073072805,0.071334645,0.068554455,0.072416329,17
35,-96,0.130802309,0.165545411,0.166884255,0.162445308,0.157214359,0.151419278,0.138069914,0.138428112,0.136895801,0.127674468,0.118873263,0.115574198,0.115286445,0.12108859,0.11896201,0.119001037,0.116998439,0.112848263,0.091660501,0.086931472,0.073277406,0.057543972,0.065138366,18
35,-92,0.068539529,0.07321706,0.067106915,0.065366407,0.065591093,0.065480253,0.071149076,0.08077451,0.085349347,0.09597106,0.102279857,0.109460227,0.113489169,0.114930052,0.111211592,0.103995641,0.095490394,0.092322908,0.092096361,0.093784409,0.100527434,0.118913462,0.133771685,19
35,-90,0.160524241,0.198686441,0.189295317,0.191116291,0.209391974,0.211124609,0.224566301,0.25654832,0.217647187,0.191657371,0.15962728,0.141283889,0.118510413,0.114768794,0.100149345,0.101080113,0.091263102,0.092739825,0.085538119,0.097691639,0.117666365,0.179653595,0.234282349,20
