Latitude,Longitude,PGA,SA(0.010),SA(0.020),SA(0.030),SA(0.04),SA(0.050),SA(0.075),SA(0.100),SA(0.150),SA(0.200),SA(0.250),SA(0.300),SA(0.400),SA(0.500),SA(0.750),SA(1.000),SA(1.500),SA(2.000),SA(3.000),SA(4.000),SA(5.000),SA(7.500),SA(10.000),N
29,-98,-1.115086079,-1.047900888,-1.04391452,-1.071194233,-1.126963317,-1.184286825,-1.33558735,-1.320711353,-1.182628655,-1.073481332,-0.948677781,-0.834234596,-0.614537871,-0.462070265,-0.216186464,-0.022073246,0.111237699,0.171206389,-0.150922674,-0.026153243,-0.156097992,-0.411545473,-0.455543921,3
31,-104,-0.910104781,-1.098860047,-1.072594171,-1.065357693,-1.034686182,-1.00675389,-0.991766956,-0.928109081,-0.787757756,-0.642227404,-0.528412987,-0.452988809,-0.339853417,-0.237193326,-0.04169526,-0.04449627,0.040145754,0.087772583,-0.103691141,-0.231250533,-0.252513267,-0.210196765,-0.152946323,4
31,-94,-0.938934134,-0.708688254,-0.686667981,-0.71970874,-0.76037818,-0.813600638,-1.008089833,-1.01817444,-1.092074078,-1.122244265,-1.215146071,-1.206574088,-1.157286474,-1.084431873,-0.90313211,-0.73994783,-0.35473655,-0.330854576,-0.11118327,-0.33740781,-0.332162879,-0.33162282,-0.443932538,5
31,-88,-0.269085474,-0.119362391,-0.04699655,-0.043664017,-0.080562119,-0.13658515,-0.268383514,-0.262174059,-0.328530121,-0.332803511,-0.255483451,-0.215695849,-0.181092515,-0.163961377,0.037585841,0.133254098,0.359989503,0.255959333,-0.118534924,-0.320390454,-0.349360407,-0.275817763,-0.238351313,6
33,-104,-0.320527315,-0.377052949,-0.314610475,-0.336077777,-0.394176581,-0.455923978,-0.447360994,-0.331491959,-0.32603595,-0.26367438,-0.187808929,-0.066072777,0.040564286,0.053412402,0.027696414,-0.11780515,-0.155079416,-0.311124084,-0.324022875,-0.318952607,-0.359961133,-0.417628425,-0.395297956,8
33,-100,0.141345263,0.215002423,0.251095639,0.223296912,0.18332413,0.133411805,0.105146542,0.147794375,0.193852,0.234820624,0.26551556,0.310488881,0.426042551,0.488891404,0.51484546,0.478610557,0.515731222,0.555291435,0.490847101,0.410672143,0.327352471,0.295851841,0.328271848,9
33,-98,0.007120065,0.286754042,0.242110315,0.17006032,0.126316665,0.071171707,0.073341407,0.090767556,0.013103966,0.064579568,0.084794525,0.131314757,0.242525998,0.314688589,0.494433748,0.668476645,0.641450629,0.626616817,0.607870733,0.440506741,0.333938797,0.322268977,0.367965356,10
33,-96,0.340303047,0.570533355,0.495211989,0.362656905,0.332215842,0.292068698,0.338971506,0.453973052,0.536874427,0.69806537,0.801898362,0.91222522,1.039555817,1.095925197,1.152777198,1.147422878,1.142241616,1.127473846,0.86154917,0.811650435,0.853403306,1.038219922,1.152945335,11
33,-88,0.261908591,0.310761374,0.354941532,0.339150936,0.314426307,0.27082805,0.16819852,0.175240582,0.237176504,0.271538172,0.269403738,0.278996095,0.342617548,0.358508305,0.377175201,0.417952397,0.448887073,0.287885323,0.061406263,-0.026665017,-0.004917205,0.125664722,0.211621554,13
35,-98,-0.300207338,-0.338659541,-0.385653003,-0.394866168,-0.347498612,-0.299252291,-0.250813039,-0.209424663,-0.216011269,-0.25064596,-0.25062287,-0.235692215,-0.20017625,-0.173567413,-0.125005984,-0.054282771,0.060372355,0.066996799,0.157248757,0.233415462,0.193977783,0.030280642,-0.034546525,17
35,-96,-0.009654135,-0.028570902,-0.036342946,-0.04244691,-0.018568423,0.004274166,0.057478958,0.071156575,0.015237765,-0.034938339,-0.025525859,-0.027279562,0.002362642,-0.038562985,-0.016209738,0.069160362,0.207002788,0.2883403,0.437718271,0.551927706,0.534092692,0.336323433,0.219649007,18
35,-92,0.214165322,0.32734805,0.313524812,0.269210126,0.225979394,0.181351026,0.181212816,0.245967306,0.27627995,0.287023622,0.291905561,0.304643531,0.334162495,0.332825415,0.387266295,0.370108537,0.326382571,0.299339055,0.178582836,0.117197807,0.095373654,0.139529277,0.17199443,19
35,-90,0.374375991,0.27265595,0.331550418,0.311198634,0.262550143,0.238913848,0.264365669,0.248530444,0.398655793,0.477507635,0.484938519,0.462851548,0.41611597,0.341774223,0.242907308,0.157287818,0.088897844,0.035687746,-0.087214995,-0.086182964,-0.025922073,0.084298107,0.070334316,20
37,-104,-1.013558733,-1.077323136,-1.080626843,-1.13028647,-1.182913412,-1.229077555,-1.315059517,-1.259949215,-1.033599862,-0.887728507,-0.795635995,-0.689103544,-0.551221058,-0.433285851,-0.259883295,-0.142179258,-0.033156621,0.00164017,-0.004480427,-0.060280231,-0.124272086,-0.156887793,-0.137245056,23
37,-98,-0.055644076,-0.085725683,-0.146526417,-0.178273768,-0.14528922,-0.099756342,-0.035733241,0.005932986,0.022209447,0.000192905,-0.009265981,-0.018501906,-0.012959476,0.008908483,0.030533922,0.078636568,0.115863205,0.144479736,0.232441172,0.259177318,0.220576208,0.129757085,0.115073392,24
